ts,side,price,qty,pnl,reason
2025-06-23 17:00,BUY,102484.02,0.1,,entry
2025-06-23 19:00,SELL,103161.29,0.1,67.73,exit
2025-06-26 12:00,BUY,107122.48,0.1,,entry
2025-06-26 13:00,SELL,106960.01,0.1,-16.25,exit
2025-06-26 21:00,BUY,107029.6,0.1,,entry
2025-06-26 22:00,SELL,106992.59,0.1,-3.7,exit
2025-06-26 23:00,BUY,106947.06,0.1,,entry
2025-06-27 00:00,SELL,106675.22,0.1,-27.18,exit
2025-06-27 03:00,BUY,107477.76,0.1,,entry
2025-06-27 07:00,SELL,106869.71,0.1,-60.8,exit
2025-06-28 03:00,BUY,107300.13,0.1,,entry
2025-06-28 13:00,SELL,107101.78,0.1,-19.84,exit
2025-06-28 20:00,BUY,107169.52,0.1,,entry
2025-06-29 03:00,SELL,107210.78,0.1,4.13,exit
2025-06-29 19:00,BUY,107406.81,0.1,,entry
2025-06-29 20:00,SELL,107359.79,0.1,-4.7,exit
2025-06-30 06:00,BUY,107571.72,0.1,,entry
2025-06-30 07:00,SELL,107614.08,0.1,4.24,exit
2025-06-30 08:00,BUY,107512.89,0.1,,entry
2025-06-30 09:00,SELL,107478.77,0.1,-3.41,exit
2025-06-30 14:00,BUY,106803.32,0.1,,entry
2025-06-30 17:00,SELL,107462.94,0.1,65.96,exit
2025-07-01 14:00,BUY,105925.0,0.1,,entry
2025-07-01 15:00,SELL,105955.18,0.1,3.02,exit
2025-07-01 18:00,BUY,105749.68,0.1,,entry
2025-07-01 19:00,SELL,105398.53,0.1,-35.11,exit
2025-07-02 07:00,BUY,107080.0,0.1,,entry
2025-07-02 08:00,SELL,107728.99,0.1,64.9,exit
2025-07-04 02:00,BUY,109180.54,0.1,,entry
2025-07-04 04:00,SELL,108982.59,0.1,-19.79,exit
2025-07-04 05:00,BUY,109012.0,0.1,,entry
2025-07-04 06:00,SELL,109025.99,0.1,1.4,exit
2025-07-04 13:00,BUY,107970.23,0.1,,entry
2025-07-04 14:00,SELL,107810.0,0.1,-16.02,exit
2025-07-04 15:00,BUY,107573.29,0.1,,entry
2025-07-04 16:00,SELL,107636.98,0.1,6.37,exit
2025-07-04 18:00,BUY,107489.23,0.1,,entry
2025-07-04 19:00,SELL,107469.23,0.1,-2.0,exit
2025-07-06 13:00,BUY,108772.17,0.1,,entry
2025-07-06 18:00,SELL,108463.99,0.1,-30.82,exit
2025-07-07 10:00,BUY,108664.14,0.1,,entry
2025-07-07 11:00,SELL,108642.01,0.1,-2.21,exit
2025-07-07 12:00,BUY,108346.85,0.1,,entry
