ts,side,price,qty,pnl,reason
2026-02-01 01:00,SELL,78532.17,0.1,-37.01,exit
2026-02-01 02:00,BUY,78900.01,0.1,,entry
2026-02-01 05:00,SELL,78620.91,0.1,-27.91,exit
2026-02-01 06:00,BUY,78300.0,0.1,,entry
2026-02-01 07:00,SELL,78343.0,0.1,4.3,exit
2026-02-01 08:00,BUY,78604.02,0.1,,entry
2026-02-01 10:00,SELL,78279.73,0.1,-32.43,exit
2026-02-01 15:00,BUY,77593.4,0.1,,entry
2026-02-01 16:00,SELL,77494.77,0.1,-9.86,exit
2026-02-01 17:00,BUY,77745.32,0.1,,entry
2026-02-01 19:00,SELL,77174.78,0.1,-57.05,exit
2026-02-01 20:00,BUY,77103.04,0.1,,entry
2026-02-01 21:00,SELL,76526.03,0.1,-57.7,exit
2026-02-02 03:00,BUY,76292.98,0.1,,entry
2026-02-02 04:00,SELL,75894.15,0.1,-39.88,exit
2026-02-02 05:00,BUY,75502.1,0.1,,entry
2026-02-02 11:00,SELL,77759.99,0.1,225.79,exit
2026-02-02 16:00,BUY,78634.76,0.1,,entry
2026-02-02 20:00,SELL,78008.59,0.1,-62.62,exit
2026-02-03 02:00,BUY,77808.01,0.1,,entry
2026-02-03 03:00,SELL,78753.32,0.1,94.53,exit
2026-02-03 10:00,BUY,78120.36,0.1,,entry
2026-02-03 11:00,SELL,78079.5,0.1,-4.09,exit
2026-02-03 17:00,BUY,74915.79,0.1,,entry
2026-02-03 18:00,SELL,73139.13,0.1,-177.67,exit
2026-02-04 15:00,BUY,74136.36,0.1,,entry
2026-02-04 16:00,SELL,73636.01,0.1,-50.04,exit
2026-02-04 17:00,BUY,72576.08,0.1,,entry
2026-02-04 18:00,SELL,73425.96,0.1,84.99,exit
2026-02-04 21:00,BUY,72799.99,0.1,,entry
2026-02-04 22:00,SELL,72543.38,0.1,-25.66,exit
2026-02-05 01:00,BUY,72421.26,0.1,,entry
2026-02-05 02:00,SELL,71454.44,0.1,-96.68,exit
2026-02-05 03:00,BUY,71223.25,0.1,,entry
2026-02-05 04:00,SELL,70888.08,0.1,-33.52,exit
2026-02-05 05:00,BUY,70732.72,0.1,,entry
2026-02-05 06:00,SELL,70951.51,0.1,21.88,exit
2026-02-05 07:00,BUY,70756.85,0.1,,entry
2026-02-05 08:00,SELL,71054.99,0.1,29.81,exit
2026-02-05 10:00,BUY,70858.13,0.1,,entry
2026-02-05 11:00,SELL,70318.35,0.1,-53.98,exit
2026-02-05 12:00,BUY,69563.57,0.1,,entry
2026-02-05 13:00,SELL,69688.94,0.1,12.54,exit
2026-02-05 14:00,BUY,69404.76,0.1,,entry
2026-02-05 15:00,SELL,67489.07,0.1,-191.57,exit
2026-02-05 16:00,BUY,68295.15,0.1,,entry
2026-02-05 17:00,SELL,66181.69,0.1,-211.35,exit
2026-02-05 18:00,BUY,66347.0,0.1,,entry
2026-02-05 19:00,SELL,65265.65,0.1,-108.13,exit
2026-02-05 20:00,BUY,63775.67,0.1,,entry
