ts,side,price,qty,pnl,reason
2026-02-01 16:00,SELL,77494.77,0.1,-9.86,BelowEMAs g=-0.13%
2026-02-01 17:00,BUY,77745.32,0.1,,DeepRSI RSI=34.4 ADX=59.6
2026-02-01 19:00,SELL,77174.78,0.1,-57.05,TrailStop g=-0.73%
2026-02-01 20:00,BUY,77103.04,0.1,,DeepRSI RSI=31.5 ADX=57.2
2026-02-01 21:00,SELL,76526.03,0.1,-57.7,BelowEMAs g=-0.75%
2026-02-02 03:00,BUY,76292.98,0.1,,DeepRSI RSI=34.0 ADX=50.1
2026-02-02 04:00,SELL,75894.15,0.1,-39.88,BelowEMAs g=-0.52%
2026-02-02 05:00,BUY,75502.1,0.1,,DeepRSI RSI=29.4 ADX=50.3
2026-02-02 15:00,SELL,78850.06,0.1,334.8,RSIExit RSI=60.1 g=+4.43%
2026-02-02 19:00,BUY,78341.5,0.1,,Pullback RSI=53.8 ADX=26.2
2026-02-02 20:00,SELL,78008.59,0.1,-33.29,BelowEMAs g=-0.42%
2026-02-03 02:00,BUY,77808.01,0.1,,Pullback RSI=46.3 ADX=18.4
2026-02-03 05:00,SELL,78240.45,0.1,43.24,BelowEMAs g=+0.56%
2026-02-03 06:00,BUY,78594.17,0.1,,Pullback RSI=52.7 ADX=19.4
2026-02-03 09:00,SELL,78400.01,0.1,-19.42,BelowEMAs g=-0.25%
2026-02-03 17:00,BUY,74915.79,0.1,,DeepRSI RSI=30.2 ADX=29.0
2026-02-03 18:00,SELL,73139.13,0.1,-177.67,TrailStop g=-2.37%
2026-02-04 06:00,BUY,76652.68,0.1,,GoldenCross ADX=32.3
2026-02-04 09:00,SELL,76119.0,0.1,-53.37,DeathCross g=-0.70%
2026-02-04 15:00,BUY,74136.36,0.1,,DeepRSI RSI=34.0 ADX=35.0
2026-02-04 16:00,SELL,73636.01,0.1,-50.04,BelowEMAs g=-0.67%
2026-02-04 17:00,BUY,72576.08,0.1,,DeepRSI RSI=27.0 ADX=39.2
2026-02-04 18:00,SELL,73425.96,0.1,84.99,BelowEMAs g=+1.17%
2026-02-04 21:00,BUY,72799.99,0.1,,DeepRSI RSI=33.7 ADX=44.8
2026-02-04 22:00,SELL,72543.38,0.1,-25.66,BelowEMAs g=-0.35%
2026-02-05 01:00,BUY,72421.26,0.1,,DeepRSI RSI=34.3 ADX=50.8
2026-02-05 02:00,SELL,71454.44,0.1,-96.68,TrailStop g=-1.33%
2026-02-05 03:00,BUY,71223.25,0.1,,DeepRSI RSI=29.0 ADX=54.1
2026-02-05 04:00,SELL,70888.08,0.1,-33.52,BelowEMAs g=-0.47%
2026-02-05 05:00,BUY,70732.72,0.1,,DeepRSI RSI=27.0 ADX=57.5
2026-02-05 06:00,SELL,70951.51,0.1,21.88,BelowEMAs g=+0.31%
2026-02-05 07:00,BUY,70756.85,0.1,,DeepRSI RSI=28.5 ADX=59.1
2026-02-05 10:00,SELL,70858.13,0.1,10.13,BelowEMAs g=+0.14%
2026-02-05 11:00,BUY,70318.35,0.1,,DeepRSI RSI=30.7 ADX=57.6
2026-02-05 12:00,SELL,69563.57,0.1,-75.48,BelowEMAs g=-1.07%
2026-02-05 13:00,BUY,69688.94,0.1,,DeepRSI RSI=28.7 ADX=58.2
2026-02-05 14:00,SELL,69404.76,0.1,-28.42,BelowEMAs g=-0.41%
2026-02-05 15:00,BUY,67489.07,0.1,,DeepRSI RSI=20.6 ADX=56.5
2026-02-05 16:00,SELL,68295.15,0.1,80.61,BelowEMAs g=+1.19%
2026-02-05 17:00,BUY,66181.69,0.1,,DeepRSI RSI=22.2 ADX=56.6
2026-02-05 18:00,SELL,66347.0,0.1,16.53,BelowEMAs g=+0.25%
